0000000000086608,tiedarrsetfn
0000000000035240,isreallycom
0000000000078d80,unload_module
0000000000059cac,shinbufrestore
000000000005c20c,shinbufalloc
00000000000851ac,langsetfn
0000000000081440,randomgetfn
00000000000a3b48,zhtricat
00000000000aebcc,tuupper
00000000000504a0,prepnexthistent
0000000000061588,inerrflush
000000000007db0c,copyparam
0000000000084360,colonarrgetfn
0000000000099488,cmdpop
000000000006b0e0,deletemathfunc
000000000008de70,ecgetstr
000000000001b810,bin_pwd
0000000000026540,bin_notavail
0000000000035ce8,closem
000000000008170c,euidgetfn
00000000000b7164,spckword
0000000000083120,gethparam
00000000000774a8,installemulation
000000000009b8a0,tsetcap
000000000007fe60,fetchvalue
00000000000a3a80,dupstring_wlen
00000000000ba350,ztrsub
00000000000812a0,strvarsetfn
00000000000ae4e0,is_nicechar
000000000004e1a0,remnulargs
0000000000025e00,bin_true
00000000000813c0,strsetfn
00000000000790a0,unload_named_module
00000000000b3920,zerrnam
0000000000069d40,uremnode
000000000008b920,parse_list
0000000000069a88,zshlex_raw_back
0000000000061f70,init_io
00000000000a5080,filesub
0000000000099440,cmdpush
0000000000099904,signal_mask
000000000005b0a8,init_shout
000000000004e5a0,remtext
00000000000bcbb0,attachtty
000000000006c100,newlinklist
0000000000041640,checkglobqual
0000000000080ea0,histsizegetfn
00000000000526d0,pophiststack
0000000000028e50,bin_umask
000000000004f9c0,createcmdnamtable
00000000000af448,zsleep_random
000000000004a600,xpandbraces
00000000000b28c8,getpermtext
00000000000a3980,appstr
000000000006d560,addhookfunc
000000000007c660,setfeatureenables
000000000008aa20,setsparam
0000000000084288,getnparam
0000000000058270,strinbeg
0000000000081280,nullstrsetfn
00000000000b6160,printprompt4
00000000000aee90,skipparens
00000000000b346c,zerr
0000000000080e20,ifsgetfn
0000000000084640,uniqarray
00000000000b8180,spacesplit
000000000004fac0,createshfunctable
00000000000321c0,zcontext_save_partial
0000000000057400,savehistfile
0000000000099784,intr
0000000000065000,waitjobs
0000000000077740,printoptionstates
0000000000019790,init_builtins
0000000000059f80,input_hasalias
0000000000019c10,createbuiltintable
00000000000ae570,is_wcs_nicechar
000000000003fe00,getoutputfile
000000000002e550,bin_dot
00000000000b42c0,zwarnnam
000000000004eb60,down_histent
000000000004e880,histremovedups
0000000000081620,floatsecondssetfn
0000000000050b80,rembutext
00000000000b02c0,colonsplit
00000000000aea28,movefd
00000000000421e0,shfunc_set_sticky
00000000000bdb10,is_mb_niceformat
00000000000af0c0,setblock_fd
00000000000698e0,cleanup_zshQsmain
0000000000051070,scanhashtable
0000000000080f60,histcharsgetfn
0000000000077f30,newparamtable
000000000004d7d0,freehistnode
00000000000262d0,zopenmax
00000000000426c0,runshfunc
0000000000069880,features_zshQsmain
00000000000a3130,settrap
000000000006ace0,gethookdef
00000000000867e0,endparamscope
0000000000086b8c,printparamnode
00000000000a2d20,unsettrap
00000000000ba300,ztrlen
00000000000ae940,zclose
0000000000069b68,zfree
00000000000bb880,subst_string_by_hook
0000000000032e00,bin_emulate
000000000009ba4c,killjb
000000000005a7b0,removetrapnode
0000000000073fa0,getmathfunc
000000000008d540,setheredoc
0000000000025e40,bin_ttyctl
000000000002d7c4,zgettime_monotonic_if_available
000000000005a4f0,getsignum
0000000000019d70,printif
000000000004e24c,createaliastable
00000000000b3ec4,read_loop
0000000000069860,setup_zshQsmain
00000000000a1e00,wait_for_processes
0000000000059f60,ingetptr
0000000000081460,randomsetfn
000000000007972c,load_module
000000000006aee0,deletehookfunc
00000000000b39f0,zwarn
000000000008196c,setsecondstype
0000000000086560,colonarrsetfn
0000000000032400,zcontext_restore_partial
0000000000064784,waitforpid
0000000000059f20,inpopalias
0000000000082bd0,euidsetfn
000000000005c848,setjobpwd
000000000006ffe4,execif
0000000000081480,intsecondsgetfn
000000000004eb10,up_histent
00000000000a5220,get_strarg
0000000000062300,zsh_main
0000000000052d60,chrealpath
000000000008d6c8,init_eprog
00000000000aeb80,tulower
0000000000087ac0,assignaparam
000000000003740c,execsubst
000000000005c724,addproc
0000000000081c4c,convbase
00000000000a4920,globlist
000000000004ff60,createaliasnode
0000000000069c80,ugetnode
00000000000b98a0,getshfunc
000000000004e4cc,herrflush
000000000005c5e0,inungetc
00000000000a4b60,filesubstr
00000000000a4504,ztrdup
00000000000af4e4,noquery
000000000004f050,resizehistents
000000000001bd44,set_pwd_env
000000000004eba4,gethistent
0000000000075a60,mathevali
0000000000083d20,getarrvalue
0000000000083c70,getsparam_u
