0000000000010180,selinux_check_passwd_access@@LIBSELINUX_1.0
00000000000091c8,security_commit_booleans@@LIBSELINUX_1.0
000000000001a40c,matchpathcon_init_prefix@@LIBSELINUX_1.0
0000000000009fe0,avc_compute_member@@LIBSELINUX_1.0
000000000000ea80,selabel_lookup@@LIBSELINUX_1.0
0000000000018720,selinux_virtual_image_context_path@@LIBSELINUX_1.0
0000000000008fa0,security_get_boolean_pending@@LIBSELINUX_1.0
00000000000092e0,security_set_boolean_list@@LIBSELINUX_1.0
000000000000da40,security_compute_member@@LIBSELINUX_1.0
000000000001ac2c,selinux_restorecon_xattr@@LIBSELINUX_1.0
000000000000aa0c,context_type_get@@LIBSELINUX_1.0
000000000000a6e0,context_new@@LIBSELINUX_1.0
0000000000016124,realpath_not_final@@LIBSELINUX_1.0
000000000001f560,string_to_security_class@@LIBSELINUX_1.0
00000000000172c4,getsockcreatecon_raw@@LIBSELINUX_1.0
000000000001ed08,selinux_raw_to_trans_context@@LIBSELINUX_1.0
000000000000c630,selinuxfs_exists@@LIBSELINUX_1.0
0000000000008730,avc_netlink_acquire_fd@@LIBSELINUX_1.0
000000000000f5c0,avc_has_perm@@LIBSELINUX_1.0
0000000000017184,getprevcon_raw@@LIBSELINUX_1.0
00000000000191c4,getprevcon@@LIBSELINUX_1.0
000000000000dc30,security_compute_user@@LIBSELINUX_1.0
000000000001aaa0,selinux_restorecon_default_handle@@LIBSELINUX_1.0
000000000000a360,freeconary@@LIBSELINUX_1.0
0000000000009040,security_get_boolean_active@@LIBSELINUX_1.0
0000000000009d64,security_compute_create_raw@@LIBSELINUX_1.0
000000000000ab04,context_range_set@@LIBSELINUX_1.0
000000000001a800,selinux_file_context_verify@@LIBSELINUX_1.0
0000000000008380,avc_add_callback@@LIBSELINUX_1.0
0000000000009500,selinux_get_callback@@LIBSELINUX_1.0
0000000000009a00,security_compute_create_name_raw@@LIBSELINUX_1.0
000000000000b0e0,avc_compute_create@@LIBSELINUX_1.0
00000000000139ec,selinux_binary_policy_path@@LIBSELINUX_1.0
0000000000017d50,selinux_failsafe_context_path@@LIBSELINUX_1.0
0000000000015d48,matchpathcon_filespec_add@@LIBSELINUX_1.0
0000000000016010,matchpathcon_filespec_destroy@@LIBSELINUX_1.0
0000000000015ca0,set_matchpathcon_canoncon@@LIBSELINUX_1.0
00000000000081c4,avc_reset@@LIBSELINUX_1.0
00000000000188d0,selinux_openssh_contexts_path@@LIBSELINUX_1.0
000000000000da20,security_compute_create@@LIBSELINUX_1.0
0000000000016360,security_policyvers@@LIBSELINUX_1.0
